#   WAVELENGTH        FLUX
#------------- -----------
     3586.600      1.0800
     3586.700     0.99207
     3586.800     0.95467
     3586.900      1.0345
     3587.000      1.0957
     3587.100      1.0467
     3587.200     0.94825
     3587.300     0.89244
     3587.400     0.98011
     3587.500      1.0822
     3587.600     0.94292
     3587.700     0.72333
     3587.800     0.71823
     3587.900     0.88760
     3588.000     0.94633
     3588.100     0.86570
     3588.200     0.90768
     3588.300      1.0870
     3588.400      1.1582
     3588.500      1.0929
     3588.600      1.0223
     3588.700     0.98540
     3588.800     0.98581
     3588.900      1.0748
     3589.000      1.2126
     3589.100      1.3262
     3589.200      1.3213
     3589.300      1.2266
     3589.400      1.1529
     3589.500      1.0629
     3589.600      1.0701
     3589.700      1.3017
     3589.800      1.5513
     3589.900      1.5695
     3590.000      1.4807
     3590.100      1.4210
     3590.200      1.3450
     3590.300      1.3491
     3590.400      1.4719
     3590.500      1.4692
     3590.600      1.3122
     3590.700      1.1662
     3590.800      1.0459
     3590.900      1.0517
     3591.000      1.2003
     3591.100      1.3556
     3591.200      1.4142
     3591.300      1.4318
     3591.400      1.5433
     3591.500      1.5341
     3591.600      1.4099
     3591.700      1.4668
     3591.800      1.6236
     3591.900      1.7312
     3592.000      1.7704
     3592.100      1.6799
     3592.200      1.4601
     3592.300      1.2726
     3592.400      1.2158
     3592.500      1.3000
     3592.600      1.4542
     3592.700      1.5633
     3592.800      1.6473
     3592.900      1.6230
     3593.000      1.4834
     3593.100      1.4811
     3593.200      1.6722
     3593.300      1.7331
     3593.400      1.6234
     3593.500      1.5764
     3593.600      1.5321
     3593.700      1.4552
     3593.800      1.3895
     3593.900      1.3226
     3594.000      1.3049
     3594.100      1.3078
     3594.200      1.2794
     3594.300      1.2130
     3594.400      1.1566
     3594.500      1.1650
     3594.600      1.1705
     3594.700      1.1703
     3594.800      1.1728
     3594.900      1.1504
     3595.000      1.2099
     3595.100      1.3710
     3595.200      1.5348
     3595.300      1.6063
     3595.400      1.6162
     3595.500      1.6022
     3595.600      1.4856
     3595.700      1.3433
     3595.800      1.3487
     3595.900      1.4644
     3596.000      1.5203
     3596.100      1.5525
     3596.200      1.6204
     3596.300      1.6895
     3596.400      1.7953
     3596.500      1.8483
     3596.600      1.7488
     3596.700      1.6803
     3596.800      1.6612
     3596.900      1.6772
     3597.000      1.7148
     3597.100      1.6402
     3597.200      1.5765
     3597.300      1.6662
     3597.400      1.6614
     3597.500      1.5214
     3597.600      1.4237
     3597.700      1.3768
     3597.800      1.5717
     3597.900      2.1039
     3598.000      2.3490
     3598.100      2.1688
     3598.200      2.0068
     3598.300      1.8162
     3598.400      1.9111
     3598.500      2.2999
     3598.600      2.5331
     3598.700      2.4442
     3598.800      1.9222
     3598.900      1.4376
     3599.000      1.3695
     3599.100      1.5385
     3599.200      1.5911
     3599.300      1.3359
     3599.400      1.0452
     3599.500      1.0352
     3599.600      1.2920
     3599.700      1.6641
     3599.800      1.8234
     3599.900      1.6825
     3600.000      1.5766
     3600.100      1.6151
     3600.200      1.5778
     3600.300      1.4524
     3600.400      1.4553
     3600.500      1.5495
     3600.600      1.3221
     3600.700     0.98298
     3600.800      1.0816
     3600.900      1.3574
     3601.000      1.2554
     3601.100     0.95107
     3601.200     0.86296
     3601.300     0.98601
     3601.400      1.2218
     3601.500      1.5012
     3601.600      1.8014
     3601.700      2.0986
     3601.800      1.9968
     3601.900      1.6970
     3602.000      1.6321
     3602.100      1.6504
     3602.200      1.5117
     3602.300      1.4443
     3602.400      1.4974
     3602.500      1.5016
     3602.600      1.4030
     3602.700      1.2839
     3602.800      1.1734
     3602.900      1.1288
     3603.000      1.1325
     3603.100      1.1547
     3603.200      1.2958
     3603.300      1.4243
     3603.400      1.3501
     3603.500      1.2524
     3603.600      1.4405
     3603.700      1.7975
     3603.800      2.0070
     3603.900      1.9600
     3604.000      1.7789
     3604.100      1.5438
     3604.200      1.3228
     3604.300      1.3521
     3604.400      1.4298
     3604.500      1.2449
     3604.600      1.0241
     3604.700      1.0040
     3604.800      1.1049
     3604.900      1.2658
     3605.000      1.4693
     3605.100      1.6308
     3605.200      1.6874
     3605.300      1.6266
     3605.400      1.5071
     3605.500      1.4393
     3605.600      1.4442
     3605.700      1.4917
     3605.800      1.4882
     3605.900      1.4321
     3606.000      1.3930
     3606.100      1.2562
     3606.200      1.1036
     3606.300      1.0865
     3606.400      1.1236
     3606.500      1.1562
     3606.600      1.1935
     3606.700      1.1465
     3606.800      1.0694
     3606.900      1.1722
     3607.000      1.3451
     3607.100      1.4143
     3607.200      1.4298
     3607.300      1.4218
     3607.400      1.4158
     3607.500      1.4536
     3607.600      1.4380
     3607.700      1.3620
     3607.800      1.3157
     3607.900      1.3428
     3608.000      1.3699
     3608.100      1.3442
     3608.200      1.4265
     3608.300      1.5378
     3608.400      1.4682
     3608.500      1.3837
     3608.600      1.3292
     3608.700      1.2628
     3608.800      1.3058
     3608.900      1.3643
     3609.000      1.3384
     3609.100      1.3908
     3609.200      1.4621
     3609.300      1.4037
     3609.400      1.2994
     3609.500      1.1778
     3609.600      1.0140
     3609.700     0.86121
     3609.800     0.84663
     3609.900     0.94557
     3610.000      1.0679
     3610.100      1.1506
     3610.200      1.2025
     3610.300      1.2429
     3610.400      1.2231
     3610.500      1.2162
     3610.600      1.2447
     3610.700      1.2157
     3610.800      1.1737
     3610.900      1.1306
     3611.000      1.0563
     3611.100     0.99015
     3611.200      1.0081
     3611.300      1.1464
     3611.400      1.3022
     3611.500      1.3769
     3611.600      1.3623
     3611.700      1.3176
     3611.800      1.2979
     3611.900      1.2478
     3612.000      1.1286
     3612.100      1.0628
     3612.200      1.0994
     3612.300      1.1399
     3612.400      1.1784
     3612.500      1.2694
     3612.600      1.3973
     3612.700      1.4640
     3612.800      1.3808
     3612.900      1.2639
     3613.000      1.2039
     3613.100      1.1920
     3613.200      1.2085
     3613.300      1.2097
     3613.400      1.2553
     3613.500      1.3136
     3613.600      1.3187
     3613.700      1.2926
     3613.800      1.2089
     3613.900      1.1718
     3614.000      1.2275
     3614.100      1.3036
     3614.200      1.4098
     3614.300      1.3807
     3614.400      1.2331
     3614.500      1.0943
     3614.600     0.89973
     3614.700     0.75225
     3614.800     0.75542
     3614.900     0.82222
     3615.000     0.88935
     3615.100     0.98689
     3615.200      1.0401
     3615.300      1.0098
     3615.400     0.98072
     3615.500     0.95540
     3615.600     0.90010
     3615.700     0.85131
     3615.800     0.88969
     3615.900     0.98897
     3616.000      1.0317
     3616.100      1.1022
     3616.200      1.3515
     3616.300      1.7978
     3616.400      2.0080
     3616.500      1.8499
     3616.600      1.9327
     3616.700      1.8793
     3616.800      1.5197
     3616.900      1.6116
     3617.000      2.2913
     3617.100      2.5486
     3617.200      1.9524
     3617.300      1.4644
     3617.400      1.5597
     3617.500      1.9451
     3617.600      2.2389
     3617.700      2.0411
     3617.800      1.4903
     3617.900      1.2943
     3618.000      1.5921
     3618.100      1.9069
     3618.200      1.9465
     3618.300      2.1174
     3618.400      2.1971
     3618.500      1.6804
     3618.600      1.1776
     3618.700      1.1941
     3618.800      1.6178
     3618.900      1.8620
     3619.000      1.5518
     3619.100      1.3706
     3619.200      1.7651
     3619.300      2.0216
     3619.400      1.5783
     3619.500      1.0963
     3619.600      1.0202
     3619.700      1.2967
     3619.800      1.6457
     3619.900      1.5144
     3620.000      1.1108
     3620.100      1.0391
     3620.200      1.3594
     3620.300      1.7687
     3620.400      1.6538
     3620.500      1.1607
     3620.600     0.96821
     3620.700      1.0767
     3620.800      1.4330
     3620.900      1.9273
     3621.000      1.9208
     3621.100      1.4319
     3621.200     0.98187
     3621.300     0.86346
     3621.400      1.2054
     3621.500      1.8056
     3621.600      1.9998
     3621.700      1.6497
     3621.800      1.3156
     3621.900      1.1216
     3622.000      1.1791
     3622.100      1.7272
     3622.200      2.1704
     3622.300      1.8310
     3622.400      1.3042
     3622.500      1.0411
     3622.600     0.95984
     3622.700      1.0432
     3622.800      1.4276
     3622.900      1.8833
     3623.000      1.8019
     3623.100      1.4226
     3623.200      1.3098
     3623.300      1.3685
     3623.400      1.4991
     3623.500      1.9275
     3623.600      2.4531
     3623.700      2.3844
     3623.800      1.9418
     3623.900      1.5535
     3624.000      1.3288
     3624.100      1.3250
     3624.200      1.3825
     3624.300      1.4930
     3624.400      1.7974
     3624.500      1.9795
     3624.600      1.8077
     3624.700      1.5696
     3624.800      1.4106
     3624.900      1.3275
     3625.000      1.4466
     3625.100      1.9611
     3625.200      2.3962
     3625.300      2.1499
     3625.400      1.7792
     3625.500      1.5584
     3625.600      1.2877
     3625.700      1.1078
     3625.800      1.1619
     3625.900      1.2768
     3626.000      1.3309
