2867167 | 23AQ08 Mar 25 02:20:40 23 | D11 M61-2      | 12:20:52.9   4:36:25 2000 |   60 | g | 1.16 | 1.11 1.12   148 |A 3 O D|
2867202 | 23AQ08 Mar 25 04:16:37 23 | C03 sdssrmcfht | 14:14:47.1  53:05:46 2000 |   54 | g | 1.29 | 1.34 1.34   112 |A 5 O D|
2867203 | 23AQ08 Mar 25 04:18:15 23 | C03 sdssrmcfht | 14:08:15.5  53:05:46 2000 |   54 | g | 1.31 | 1.28 1.29   110 |A 5 O D|
2867204 | 23AQ08 Mar 25 04:20:21 23 | C03 sdssrmcfht | 14:14:47.1  54:04:31 2000 |   59 | g | 1.31 | 1.28 1.29   120 |A 5 O D|
2867205 | 23AQ08 Mar 25 04:22:01 23 | C03 sdssrmcfht | 14:21:18.7  53:05:46 2000 |   55 | g | 1.29 | 1.37 1.37   111 |A 5 O D|
2867206 | 23AQ08 Mar 25 04:24:04 23 | C03 sdssrmcfht | 14:14:47.1  52:07:00 2000 |   61 | g | 1.29 | 1.34 1.35   126 |A 3 O D|
2867207 | 23AQ08 Mar 25 04:25:55 23 | C03 sdssrmcfht | 14:08:43.7  52:09:50 2000 |   66 | g | 1.31 | 1.27 1.29   132 |A 5 O D|
2867208 | 23AQ08 Mar 25 04:28:17 23 | C03 sdssrmcfht | 14:08:35.7  54:01:42 2000 |   54 | g | 1.34 | 1.21 1.21   113 |A 5 O D|
2867209 | 23AQ08 Mar 25 04:30:49 23 | C03 sdssrmcfht | 14:20:58.5  54:01:42 2000 |   72 | g | 1.32 | 1.24 1.25   149 |A 5 O D|
2867210 | 23AQ08 Mar 25 04:32:43 23 | C03 sdssrmcfht | 14:20:50.6  52:09:50 2000 |   69 | g | 1.30 | 1.25 1.26   144 |A 5 O D|
2867221 | 23AQ08 Mar 25 05:25:42 23 | Q97 D3         | 14:19:26.0  52:40:31 2000 |  120 | g | 1.46 | 1.17 1.17   804 |A 5 O D|
2867252 | 23AQ08 Mar 25 19:25:59 23 | Q97 GD71       |  5:52:28.6  16:00:07 2000 |    2 | g | 1.07 | 0.70 0.69    48 |A 5 O D|
2867256 | 23AQ08 Mar 25 19:37:32 23 | Q95 PSF Field  |  6:30:00.0  14:20:00 2000 |   40 | g | 1.03 | 0.85 0.84   364 |A 5 O D|
2867259 | 23AQ08 Mar 25 19:46:21 23 | Q95 PSF Field  |  6:30:00.0  14:20:00 2000 |   20 | g | 1.04 | 0.63 0.62   424 |A 3 O D|
2867263 | 23AQ08 Mar 25 20:06:36 23 | H27 2018 MG7   |  4:17:04.5  -5:38:24 2000 |   80 | g | 1.97 | 4.84 4.86  3830 |A 3 O Q|
2867264 | 23AQ08 Mar 25 20:08:41 23 | H27 2018 MG7   |  4:17:03.6  -5:38:25 2000 |   80 | g | 2.00 | 4.32 4.35  3874 |A 3 O Q|
2867265 | 23AQ08 Mar 25 20:10:45 23 | H27 2018 MG7   |  4:17:04.1  -5:38:06 2000 |   80 | g | 2.02 | 4.36 4.38  3098 |A 3 O Q|
2867266 | 23AQ08 Mar 25 20:15:31 23 | H27 2020 SH2   |  7:34:20.2  59:18:31 2000 |  120 | g | 1.30 | 4.82 4.82  2011 |A 3 O Q|
2867267 | 23AQ08 Mar 25 20:18:15 23 | H27 2020 SH2   |  7:34:22.6  59:18:24 2000 |  120 | g | 1.30 | 4.85 4.78  2147 |A 3 O Q|
2867268 | 23AQ08 Mar 25 20:21:00 23 | H27 2020 SH2   |  7:34:22.5  59:18:36 2000 |  120 | g | 1.30 | 4.81 4.86  2103 |A 3 O Q|
2867420 | 23AQ08 Mar 26 04:54:14 23 | H27 2018 FE3   | 14:57:42.6  24:10:37 2000 |   40 | g | 1.11 | 6.44 5.44   328 |A 1 V Q|
2867421 | 23AQ08 Mar 26 04:56:11 23 | H27 2018 FE3   | 14:57:42.7  24:10:53 2000 |   40 | g | 1.11 | 7.16 6.67   323 |A 1 V Q|
2867422 | 23AQ08 Mar 26 04:58:22 23 | H27 2018 FE3   | 14:57:41.1  24:10:51 2000 |   40 | g | 1.12 | 7.13 6.97   322 |A 1 V Q|
2867423 | 23AQ08 Mar 26 05:02:50 23 | H32 P21DTGW    | 12:52:46.1  30:42:05 2000 |   40 | g | 1.75 | 2.89 2.80   426 |A 1 V Q|
2867424 | 23AQ08 Mar 26 05:04:15 23 | H32 P21DTGW    | 12:52:47.2  30:41:45 2000 |   40 | g | 1.76 | 3.04 3.04   427 |A 1 V Q|
2867425 | 23AQ08 Mar 26 05:05:39 23 | H32 P21DTGW    | 12:52:48.8  30:42:01 2000 |   40 | g | 1.77 | 3.02 2.97   431 |A 1 V Q|
